Car Names,Years of Production,Number Of,BodyStyles
   Alfa Romeo GTV 1.8 T.Spark 16V,1998 - 2001,2,"Coupe
"
   Alfa Romeo GTV 2.0 T.Spark 16V,2003 - 2005,2,"Coupe
"
   Alfa Romeo MiTo 1.4 8V Essential,2011 - 2012,3,"Hatchback
"
   Alfa Romeo Spider 2.0 Veloce,1971 - 1983,2,"Convertible
"
   Alfa Romeo Spider 2.0,1983 - 1990,2,"Convertible
"
   Alfa Romeo Spider 2.0,1990 - 1993,2,"Convertible
"
   Alfa Romeo Spider 2.0 Twin Spark 16V,1995 - 1998,2,"Convertible
"
   Alfa Romeo Spider 1.8 T.Spark 16V,1998 - 2001,2,"Convertible
"
   Alfa Romeo Spider 2.0 T.Spark 16V,2003 - 2006,2,"Convertible
"
   Alfa Romeo Spider 2.2 JTS,2006 - 2008,2,"Convertible
"
   Alfa Romeo Spider 1750 Turbo,2009 - 2010,2,"Convertible
"
   Aston Martin Cygnet,2011 - 2013,3,"Hatchback
"
   Aston Martin DB7,1994 - 2001,2,"Coupe
"
   Aston Martin DB7 Volante,1996 - 2001,2,"Convertible
"
   Aston Martin DB9 Vantage Volante,2004 - 2008,2,"Convertible
"
   Aston Martin DBS,2008 - 2012,2,"Coupe
"
   Aston Martin DBS Volante,2010 - 2012,2,"Convertible
"
   Aston Martin Rapide,2010 - 2017,4,"Sedan
"
   Aston Martin V12 Vanquish,2001 - 2006,2,"Coupe
"
   Aston Martin V8 Vantage,2005 - 2008,2,"Coupe
"
   Aston Martin V8 Vantage Roadster,2007 - 2008,2,"Convertible
"
   Audi 100 Avant GL 5S,1978 - 1982,5,"Hatchback
"
   Audi 100 L,1976 - 1981,4,"Sedan
"
   Audi 100 1.8 75hp,1982 - 1986,4,"Sedan
"
   Audi 100 2.0 E,1988 - 1991,4,"Sedan
"
   Audi 100 2.0 E 74kW,1991 - 1993,4,"Sedan
"
   Audi 100 Avant 1.8 75hp,1985 - 1986,5,"Station wagon
"
   Audi 100 Avant 2.0 E,1988 - 1991,5,"Station wagon
"
   Audi 100 Avant 2.0 E 74kW,1991 - 1993,5,"Station wagon
"
   Audi 80 1300 L,1978 - 1981,2,"Sedan
"
   Audi 80 1.3 C,1982 - 1984,2,"Sedan
"
   Audi 80 1.3,1984 - 1985,2,"Sedan
"
   Audi 80 1300 L,1978 - 1981,4,"Sedan
"
   Audi 80 1.3 C,1982 - 1984,4,"Sedan
"
   Audi 80 1.3,1984 - 1986,4,"Sedan
"
   Audi 80 1.6 C,1990 - 1991,4,"Sedan
"
   Audi 80 1.6 E,1992 - 1994,4,"Sedan
"
   Audi 80 Avant 2.0 E 90hp,1992 - 1995,5,"Station wagon
"
   Audi 90 2.0,1984 - 1986,4,"Sedan
"
   Audi 90 2.0 E,1987 - 1991,4,"Sedan
"
   Audi A1 1.2 TFSI Attraction,2010 - 2015,3,"Hatchback
"
   Audi A1 Sportback 1.2 TFSI Attraction,2012 - 2015,5,"Hatchback
"
   Audi A2 1.4,2000 - 2005,5,"MPV
"
   Audi A3 1.6 Attraction,1996 - 2000,3,"Hatchback
"
   Audi A3 1.6 Attraction,2000 - 2003,3,"Hatchback
"
   Audi A3 1.6 Attraction,2003 - 2005,3,"Hatchback
"
   Audi A3 1.6 Attraction,2005 - 2008,3,"Hatchback
"
,,,
,,,
,,,
   Audi A3 1.6 Attraction,2008 - 2010,3,"Hatchback
"
   Audi A3 1.2 TFSI 105hp Attraction,2013 - 2014,3,"Hatchback
"
   Audi S3 quattro,1999 - 2000,3,"Hatchback
"
   Audi S3 quattro,2000 - 2001,3,"Hatchback
"
   Audi S3 2.0 T FSI quattro,2006 - 2008,3,"Hatchback
"
   Audi S3 2.0 TFSI quattro,2008 - 2012,3,"Hatchback
"
   Audi A3 1.6 Attraction,1999 - 2000,5,"Hatchback
"
   Audi A3 1.6 Attraction,2000 - 2003,5,"Hatchback
"
   Audi A3 Sportback 1.6 Attraction,2004 - 2008,5,"Hatchback
"
   Audi A3 Sportback 1.6 Attraction,2008 - 2010,5,"Hatchback
"
   Audi RS3 Sportback,2011 - 2013,5,"Hatchback
"
   Audi S3 Sportback 2.0 TFSI quattro,2008 - 2013,5,"Hatchback
"
   Audi A3 Cabriolet 1.2 TFSI Attraction,2010 - 2013,2,"Convertible
"
   Audi A4 1.6 C,1997 - 1999,4,"Sedan
"
   Audi A4 1.6,1999 - 2001,4,"Sedan
"
   Audi A4 1.6,2001 - 2004,4,"Sedan
"
   Audi A4 1.6,2004 - 2007,4,"Sedan
"
   Audi A4 1.8 TFSI 120hp,2008 - 2011,4,"Sedan
"
   Audi A4 1.8 TFSI 120hp,2012 - 2014,4,"Sedan
"
   Audi RS4 4.2 FSI quattro,2005 - 2007,4,"Sedan
"
   Audi S4 Quattro,1997 - 1999,4,"Sedan
"
   Audi S4 quattro,1999 - 2001,4,"Sedan
"
   Audi S4 4.2 quattro,2003 - 2004,4,"Sedan
"
   Audi S4 4.2 quattro,2005 - 2007,4,"Sedan
"
   Audi S4 3.0 TFSI quattro,2009 - 2011,4,"Sedan
"
   Audi S4 3.0 TFSI quattro,2011 - 2015,4,"Sedan
"
   Audi A4 Allroad quattro 2.0 TFSI 211hp,2012 - 2013,5,"Station wagon
"
   Audi A4 Avant 1.6,1996 - 1999,5,"Station wagon
"
   Audi A4 Avant 1.6,1999 - 2001,5,"Station wagon
"
   Audi A4 Avant 1.6,2001 - 2004,5,"Station wagon
"
   Audi A4 Avant 1.6,2004 - 2008,5,"Station wagon
"
   Audi A4 Avant 1.8 TFSI 120hp,2009 - 2011,5,"Station wagon
"
   Audi A4 Avant 1.8 TFSI 120hp,2012 - 2014,5,"Station wagon
"
   Audi RS4 Avant,2000 - 2001,5,"Station wagon
"
   Audi RS4 Avant 4.2 FSI quattro,2006 - 2008,5,"Station wagon
"
   Audi RS4 Avant 4.2 FSI quattro,2012 - 2015,5,"Station wagon
"
   Audi S4 Avant Quattro,1997 - 1999,5,"Station wagon
"
   Audi S4 Avant quattro,1999 - 2001,5,"Station wagon
"
   Audi S4 Avant 4.2 quattro,2003 - 2004,5,"Station wagon
"
   Audi S4 Avant 4.2 quattro,2005 - 2008,5,"Station wagon
"
   Audi S4 Avant 3.0 TFSI quattro,2009 - 2011,5,"Station wagon
"
   Audi S4 Avant 3.0 TFSI quattro,2011 - 2015,5,"Station wagon
"
   Audi A4 Cabriolet 2.0 5V,2005 - 2005,2,"Convertible
"
   Audi A4 Cabriolet 1.8 T,2005 - 2008,2,"Convertible
"
   Audi RS4 Cabriolet 4.2 FSI quattro,2006 - 2008,2,"Convertible
"
   Audi S4 Cabriolet 4.2 quattro,2004 - 2005,2,"Convertible
"
   Audi S4 Cabriolet 4.2 quattro,2005 - 2008,2,"Convertible
"
   Audi A4 Allroad 2.0 TFSI 211hp quattro,2010 - 2011,5,"Station wagon
"
,,,
,,,
,,,
   Audi A5 Sportback 1.8 TFSI 160hp,2010 - 2011,5,"Hatchback
"
   Audi A5 Sportback 1.8 TFSI 144hp,2014 - 2017,5,"Hatchback
"
   Audi S5 Sportback 3.0 TFSI quattro,2010 - 2011,5,"Hatchback
"
   Audi S5 Sportback 3.0 TFSI quattro,2011 - 2017,5,"Hatchback
"
   Audi A5 Coupe 1.8 TFSI 160hp,2009 - 2011,2,"Coupe
"
   Audi A5 Coupe 1.8 TFSI 170hp,2011 - 2015,2,"Coupe
"
   Audi RS5 Coupe 4.2 FSI quattro,2010 - 2012,2,"Coupe
"
   Audi RS5 Coupe 4.2 FSI quattro,2012 - 2015,2,"Coupe
"
   Audi S5 Coupe 4.2 FSI quattro,2007 - 2011,2,"Coupe
"
   Audi S5 Coupe 3.0 TFSI quattro,2011 - 2016,2,"Coupe
"
   Audi A5 Cabriolet 1.8 TFSI 160hp,2009 - 2011,2,"Convertible
"
   Audi A5 Cabriolet 1.8 TFSI,2011 - 2015,2,"Convertible
"
   Audi S5 Cabriolet 3.0 TFSI quattro,2009 - 2011,2,"Convertible
"
   Audi S5 Cabriolet 3.0 TFSI quattro,2011 - 2015,2,"Convertible
"
   Audi A6 1.8 5V,1995 - 1997,4,"Sedan
"
   Audi A6 1.8 5V,1997 - 2001,4,"Sedan
"
   Audi A6 2.0 5V,2001 - 2004,4,"Sedan
"
   Audi A6 2.0 T FSI,2005 - 2008,4,"Sedan
"
   Audi A6 2.0 TFSI,2008 - 2011,4,"Sedan
"
   Audi A6 2.0 TFSI,2011 - 2014,4,"Sedan
"
   Audi RS6 quattro,2002 - 2004,4,"Sedan
"
   Audi RS6 5.0 TFSI quattro,2008 - 2010,4,"Sedan
"
   Audi S6 quattro,1994 - 1997,4,"Sedan
"
   Audi S6 quattro,1999 - 2001,4,"Sedan
"
   Audi S6 quattro,2001 - 2004,4,"Sedan
"
   Audi S6 5.2 FSI quattro,2006 - 2008,4,"Sedan
"
   Audi S6 5.2 FSI quattro,2008 - 2011,4,"Sedan
"
   Audi S6 4.0 TFSI quattro Pro Line,2012 - 2014,4,"Sedan
"
   Audi A6 Allroad 3.0 TFSI quattro,2012 - 2014,5,"Station wagon
"
   Audi A6 Avant 1.8 5V,1995 - 1997,5,"Station wagon
"
   Audi A6 Avant 1.8 5V,1998 - 2001,5,"Station wagon
"
   Audi A6 Avant 2.0 5V,2001 - 2004,5,"Station wagon
"
   Audi A6 Avant 2.0 T FSI,2005 - 2008,5,"Station wagon
"
   Audi A6 Avant 2.0 TFSI,2008 - 2011,5,"Station wagon
"
   Audi A6 Avant 2.0 TFSI,2011 - 2014,5,"Station wagon
"
   Audi RS6 Avant quattro,2002 - 2004,5,"Station wagon
"
   Audi RS6 Avant 5.0 TFSI quattro,2008 - 2010,5,"Station wagon
"
   Audi S6 Avant quattro,1994 - 1997,5,"Station wagon
"
   Audi S6 Avant quattro,1999 - 2001,5,"Station wagon
"
   Audi S6 Avant quattro,2001 - 2004,5,"Station wagon
"
   Audi S6 Avant 5.2 FSI quattro,2006 - 2008,5,"Station wagon
"
   Audi S6 Avant 5.2 FSI quattro,2008 - 2011,5,"Station wagon
"
   Audi S6 Avant 4.0 TFSI quattro Pro Line,2012 - 2014,5,"Station wagon
"
   Audi A6 Allroad quattro 2.7 5V Turbo,2000 - 2006,5,"Station wagon
"
   Audi A6 Allroad quattro 3.2 FSI,2006 - 2008,5,"Station wagon
"
   Audi A6 Allroad quattro 3.0 TFSI,2008 - 2011,5,"Station wagon
"
   Audi A7 Sportback 2.8 FSI,2011 - 2014,5,"Hatchback
"
   Audi S7 Sportback 4.0 TFSI quattro,2012 - 2014,5,"Hatchback
"
,,,
,,,
,,,
   Audi A8 2.8,1994 - 1996,4,"Sedan
"
   Audi A8 2.8 5V,1999 - 2002,4,"Sedan
"
   Audi A8 3.0,2004 - 2005,4,"Sedan
"
   Audi A8 2.8 FSIe,2007 - 2010,4,"Sedan
"
   Audi A8 2.0 TFSI Hybrid,2012 - 2013,4,"Sedan
"
   Audi S8,1996 - 1999,4,"Sedan
"
   Audi S8 quattro,1999 - 2001,4,"Sedan
"
   Audi S8 5.2 FSI quattro,2006 - 2007,4,"Sedan
"
   Audi S8 5.2 FSI quattro,2007 - 2010,4,"Sedan
"
   Audi S8 4.0 TFSI quattro,2012 - 2013,4,"Sedan
"
   Audi Cabriolet 1.8 5V,1997 - 2000,2,"Convertible
"
   Audi Coupe GT 1.8,1986 - 1988,2,"Sedan
"
   Audi Coupe GT 1.9,1980 - 1983,2,"Coupe
"
   Audi Coupe 1.8,1985 - 1986,2,"Coupe
"
   Audi Coupe 2.0 E,1990 - 1991,3,"Coupe
"
   Audi Coupe 2.0 E,1991 - 1996,3,"Coupe
"
   Audi Q3 1.4 TFSI,2013 - 2015,5,"SUV
"
   Audi Q5 2.0 TFSI 180hp quattro,2009 - 2012,5,"SUV
"
   Audi Q7 3.6 FSI quattro,2008 - 2008,5,"SUV
"
   Audi Q7 3.0 TFSI 272hp quattro,2010 - 2015,5,"SUV
"
   Audi R8 4.2 FSI quattro,2007 - 2011,2,"Coupe
"
   Audi R8 Spyder 4.2 FSI quattro,2011 - 2012,2,"Convertible
"
   Audi TT Coupe 1.8 5V Turbo 150hp,2003 - 2005,2,"Coupe
"
   Audi TT Coupe 1.8 TFSI,2008 - 2010,2,"Coupe
"
   Audi TT Coupe 1.8 TFSI,2010 - 2014,2,"Coupe
"
   Audi TT Roadster 1.8 5V Turbo 150hp,2002 - 2005,2,"Convertible
"
   Audi TT Roadster 1.8 TFSI,2008 - 2010,2,"Convertible
"
   Audi TT Roadster 1.8 TFSI,2010 - 2014,2,"Convertible
"
   Bentley Arnage Green Label,1998 - 2002,4,"Sedan
"
   Bentley Arnage R,2002 - 2007,4,"Sedan
"
   Bentley Continental Flying Spur,2005 - 2013,4,"Sedan
"
   Bentley Continental R,1994 - 2003,2,"Coupe
"
   Bentley Continental GT,2003 - 2011,2,"Coupe
"
   Bentley Continental GT V8,2012 - 2018,2,"Coupe
"
   Bentley Azure,1997 - 2003,2,"Convertible
"
   Bentley Continental GTC,2006 - 2012,2,"Convertible
"
   Bentley Mulsanne 6.8,2010 - 2016,4,"Sedan
"
   BMW 116i,2007 - 2009,3,"Hatchback
"
   BMW 114i EfficientDynamics Edition,2012 - 2015,3,"Hatchback
"
   BMW 116i,2004 - 2006,5,"Hatchback
"
   BMW 116i,2007 - 2007,5,"Hatchback
"
   BMW 114i EfficientDynamics Edition,2012 - 2015,5,"Hatchback
"
   BMW 120i Coupe,2009 - 2011,2,"Coupe
"
   BMW 120i Coupe,2011 - 2013,2,"Coupe
"
   BMW 118i Cabrio,2008 - 2011,2,"Convertible
"
   BMW 118i Cabrio,2011 - 2014,2,"Convertible
"
   BMW 316i Compact,1994 - 1999,3,"Hatchback
"
   BMW 316ti Compact Essence,2003 - 2005,3,"Hatchback
"
,,,
,,,
,,,
   BMW 315,1981 - 1983,2,"Sedan
"
   BMW 316,1983 - 1987,2,"Sedan
"
   BMW 316,1983 - 1987,4,"Sedan
"
   BMW 316iN,1993 - 1993,4,"Sedan
"
   BMW 316i,1999 - 2001,4,"Sedan
"
   BMW 316i,2001 - 2002,4,"Sedan
"
   BMW 316i,2008 - 2008,4,"Sedan
"
   BMW 316i,2008 - 2012,4,"Sedan
"
   BMW 316i,2012 - 2015,4,"Sedan
"
   BMW 316i Touring,1991 - 1994,5,"Station wagon
"
   BMW 316i touring,1997 - 1999,5,"Station wagon
"
   BMW 318i touring,1999 - 2001,5,"Station wagon
"
   BMW 316i touring Essence,2003 - 2005,5,"Station wagon
"
   BMW 318i Touring,2006 - 2007,5,"Station wagon
"
   BMW 316i Touring,2008 - 2012,5,"Station wagon
"
   BMW 316i Touring,2013 - 2015,5,"Station wagon
"
   BMW 316i Coupe,1993 - 1998,2,"Coupe
"
   BMW 318Ci,1999 - 2001,2,"Coupe
"
   BMW 318Ci,2003 - 2006,2,"Coupe
"
   BMW 320i Coupe Corporate Lease,2009 - 2010,2,"Coupe
"
   BMW 320i Coupe Corporate Lease,2010 - 2013,2,"Coupe
"
   BMW 318i Cabrio,1990 - 1993,2,"Convertible
"
   BMW 318i Cabrio,1994 - 1999,2,"Convertible
"
   BMW 318Ci Cabrio,2001 - 2003,2,"Convertible
"
   BMW 318Ci Cabrio,2003 - 2007,2,"Convertible
"
   BMW 320i Cabrio,2007 - 2010,2,"Convertible
"
   BMW 320i Cabrio,2010 - 2013,2,"Convertible
"
   BMW 535i Gran Turismo Executive,2009 - 2012,5,"Hatchback
"
   BMW 518,1974 - 1981,4,"Sedan
"
   BMW 518,1981 - 1984,4,"Sedan
"
   BMW 518i,1989 - 1994,4,"Sedan
"
   BMW 520i,1996 - 2000,4,"Sedan
"
   BMW 520i,2000 - 2003,4,"Sedan
"
   BMW 520i,2003 - 2005,4,"Sedan
"
   BMW 520i Corporate Lease,2007 - 2010,4,"Sedan
"
   BMW 520i,2011 - 2013,4,"Sedan
"
   BMW 518i Touring,1993 - 1994,5,"Station wagon
"
   BMW 520i touring,1997 - 2000,5,"Station wagon
"
   BMW 520i touring,2000 - 2004,5,"Station wagon
"
   BMW 523i Touring,2005 - 2007,5,"Station wagon
"
   BMW 520i Touring Corporate Lease,2007 - 2010,5,"Station wagon
"
   BMW 520i Touring,2011 - 2013,5,"Station wagon
"
   BMW 640i Gran Coupe,2012 - 2015,4,"Sedan
"
   BMW 628 CSi,1982 - 1987,2,"Coupe
"
   BMW 630i,2004 - 2007,2,"Coupe
"
   BMW 630i,2007 - 2011,2,"Coupe
"
   BMW 640i Coupe,2011 - 2015,2,"Coupe
"
   BMW 630i Cabrio,2004 - 2007,2,"Convertible
"
,,,
,,,
,,,
   BMW 630i Cabrio,2007 - 2011,2,"Convertible
"
   BMW 640i Cabrio,2011 - 2015,2,"Convertible
"
   BMW 728i,1979 - 1982,4,"Sedan
"
   BMW 728i,1982 - 1986,4,"Sedan
"
   BMW 730i,1986 - 1994,4,"Sedan
"
   BMW 728i,1995 - 1998,4,"Sedan
"
   BMW 728i,1998 - 2001,4,"Sedan
"
   BMW 730i,2003 - 2005,4,"Sedan
"
   BMW 730i,2005 - 2008,4,"Sedan
"
   BMW 740i,2008 - 2012,4,"Sedan
"
   BMW 740i,2012 - 2015,4,"Sedan
"
   BMW 840 Ci,1993 - 1996,2,"Coupe
"
   BMW X1 sDrive18i,2010 - 2011,5,"SUV
"
   BMW X1 sDrive20i,2012 - 2015,5,"SUV
"
   BMW X3 2.0i,2005 - 2006,5,"SUV
"
   BMW X3 xDrive20i,2006 - 2010,5,"SUV
"
   BMW X3 xDrive20i,2011 - 2014,5,"SUV
"
   BMW X5 3.0i,2000 - 2003,5,"SUV
"
   BMW X5 3.0i,2003 - 2007,5,"SUV
"
   BMW X5 xDrive30i,2007 - 2010,5,"SUV
"
   BMW X5 xDrive35i,2010 - 2013,5,"SUV
"
   BMW X6 xDrive35i,2008 - 2010,5,"SUV
"
   BMW X6 xDrive35i,2012 - 2014,5,"SUV
"
   BMW Z3 coupe 2.8i,1998 - 2000,3,"Coupe
"
   BMW Z3 roadster 1.8i,1996 - 1999,2,"Convertible
"
   BMW Z4 Coupe 3.0si,2006 - 2009,3,"Coupe
"
   BMW Z4 roadster 2.0i,2005 - 2006,2,"Convertible
"
   BMW Z4 Roadster 2.0i Introduction,2006 - 2006,2,"Convertible
"
   BMW Z4 Roadster sDrive20i,2011 - 2013,2,"Convertible
"
   BMW Z8,2000 - 2003,2,"Convertible
"
   Bugatti Veyron 16.4,2005 - 2011,2,"Coupe
"
   Cadillac BLS 2.0T 175hp Business,2006 - 2009,4,"Sedan
"
   Cadillac BLS Wagon 2.0T 175hp Business,2007 - 2009,5,"Station wagon
"
   Cadillac CTS 2.6 Comfort,2004 - 2005,4,"Sedan
"
   Cadillac CTS 2.8 Elegance,2007 - 2009,4,"Sedan
"
   Cadillac CTS 3.0 Elegance,2010 - 2015,4,"Sedan
"
   Cadillac CTS Wagon 3.0 Elegance,2010 - 2015,5,"Station wagon
"
   Cadillac CTS Coupe 3.6 Sport Luxury,2010 - 2011,2,"Coupe
"
   Cadillac Eldorado TC,1995 - 1997,2,"Coupe
"
   Cadillac Escalade 6.0 V8,2005 - 2006,5,"SUV
"
   Cadillac Escalade 6.0 V8 Hybrid Sport Luxury,2009 - 2009,5,"SUV
"
   Cadillac Escalade 6.0 V8 Hybrid Sport Luxury,2010 - 2015,5,"SUV
"
   Cadillac Seville SLS,1996 - 1998,4,"Sedan
"
   Cadillac Seville SLS,1998 - 2000,4,"Sedan
"
   Cadillac SRX 3.6 V6 2WD Elegance,2007 - 2009,5,"SUV
"
   Cadillac SRX 3.0 V6 AWD Elegance,2010 - 2015,5,"SUV
"
   Cadillac STS 3.6 V6 Elegance,2005 - 2008,4,"Sedan
"
   Cadillac XLR,2004 - 2007,2,"Convertible
"
,,,
,,,
,,,
   Chevrolet Alero 2.4 SA,2001 - 2002,4,"Sedan
"
   Chevrolet Aveo 1.2 16V L,2008 - 2010,3,"Hatchback
"
   Chevrolet Aveo 1.2 16V L,2008 - 2010,5,"Hatchback
"
   Chevrolet Aveo 1.2 LS,2011 - 2014,5,"Hatchback
"
   Chevrolet Aveo 1.4 16V Spirit,2006 - 2007,4,"Sedan
"
   Chevrolet Aveo 1.2 LS,2011 - 2014,4,"Sedan
"
   Chevrolet Blazer ZR2,1998 - 2001,3,"SUV
"
   Chevrolet Blazer,1995 - 1997,5,"SUV
"
   Chevrolet Blazer Wagon,1998 - 1999,5,"SUV
"
   Chevrolet Camaro Coupe 6.2 V8,2011 - 2018,2,"Coupe
"
   Chevrolet Camaro Coupe,1998 - 2002,3,"Coupe
"
   Chevrolet Camaro Convertible,1998 - 2002,2,"Convertible
"
   Chevrolet Camaro Convertible 6.2 V8,2011 - 2018,2,"Convertible
"
   Chevrolet Captiva 2.4 Shadow,2010 - 2011,5,"SUV
"
   Chevrolet Captiva 2.4 LT,2011 - 2014,5,"SUV
"
   Chevrolet Corvette Coupe,1993 - 1997,3,"Coupe
"
   Chevrolet Corvette Coupe,1997 - 2004,3,"Coupe
"
   Chevrolet Corvette Grand Sport Coupe,2010 - 2014,3,"Coupe
"
   Chevrolet Corvette Convertible,1993 - 1997,2,"Convertible
"
   Chevrolet Corvette Convertible,1998 - 2004,2,"Convertible
"
   Chevrolet Corvette Grand Sport Convertible,2010 - 2014,2,"Convertible
"
   Chevrolet Cruze 1.4 LS,2014 - 2014,5,"Hatchback
"
   Chevrolet Cruze 1.4 LS,2014 - 2014,4,"Sedan
"
   Chevrolet Epica 2.0 Class,2006 - 2010,4,"Sedan
"
   Chevrolet Evanda 2.0 Style,2005 - 2006,4,"Sedan
"
   Chevrolet Kalos 1.2 Pure,2005 - 2008,3,"Hatchback
"
   Chevrolet Kalos 1.2 Ace,2005 - 2005,5,"Hatchback
"
   Chevrolet Kalos 1.4 Spirit,2005 - 2005,4,"Sedan
"
   Chevrolet Lacetti 1.4 Spirit,2005 - 2010,5,"Hatchback
"
   Chevrolet Matiz 0.8 Pure,2005 - 2005,5,"Hatchback
"
   Chevrolet Nubira 1.4 Ace,2005 - 2005,4,"Sedan
"
   Chevrolet Nubira Station Wagon 1.6 Spirit,2005 - 2010,5,"Station wagon
"
   Chevrolet Orlando 1.4T LS,2013 - 2014,5,"MPV
"
   Chevrolet Spark 1.0 L,2010 - 2012,5,"Hatchback
"
   Chevrolet Tacuma 1.6 Pure,2006 - 2008,5,"MPV
"
   Chevrolet Volt LT,2011 - 2014,5,"Hatchback
"
   Chrysler 300C 2.7 V6,2004 - 2011,4,"Sedan
"
   Chrysler 300C Touring 2.7 V6,2004 - 2009,5,"Station wagon
"
   Chrysler 300M 2.7i V6 SE,1998 - 2004,4,"Sedan
"
   Chrysler Crossfire 3.2i V6,2005 - 2008,2,"Coupe
"
   Chrysler Crossfire Roadster 3.2i V6,2005 - 2008,2,"Convertible
"
   Chrysler Grand Voyager 3.8 V6,2010 - 2011,5,"MPV
"
   Chrysler Neon 1.8i 16V LE,1997 - 1999,4,"Sedan
"
   Chrysler Neon 1.6i 16V SE,2001 - 2003,4,"Sedan
"
   Chrysler New Yorker 3.5i V6 24V,1995 - 1997,4,"Sedan
"
   Chrysler PT Cruiser Cabrio 2.4i Touring,2005 - 2006,2,"Convertible
"
   Chrysler PT Cruiser Cabrio 2.4i Touring,2006 - 2010,2,"Convertible
"
   Chrysler PT Cruiser 1.6i Classic,2003 - 2006,5,"MPV
"
,,,
,,,
,,,
   Chrysler PT Cruiser 1.6i Challenger,2006 - 2006,5,"MPV
"
